gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-a2009s_rh_volume_S-oc-temp-med+Lingual	a2009s	rh	occipitotemporal	S_oc-temp_med_and_Lingual
aparc-a2009s_rh_volume_S-orbital-lateral	a2009s	rh	frontal	S_orbital_lateral
aparc-a2009s_rh_volume_S-orbital-med-olfact	a2009s	rh	frontal	S_orbital_med-olfact
aparc-a2009s_rh_volume_S-orbital-H-Shaped	a2009s	rh	frontal	S_orbital-H_Shaped
aparc-a2009s_rh_volume_S-parieto-occipital	a2009s	rh	parietal	S_parieto_occipital
aparc-a2009s_rh_volume_S-pericallosal	a2009s	rh	corpus callosum	S_pericallosal
aparc-a2009s_rh_volume_S-postcentral	a2009s	rh	parietal	S_postcentral
aparc-a2009s_rh_volume_S-precentral-inf-part	a2009s	rh	frontal	S_precentral-inf-part
aparc-a2009s_rh_volume_S-precentral-sup-part	a2009s	rh	frontal	S_precentral-sup-part
aparc-a2009s_rh_volume_S-suborbital	a2009s	rh	frontal	S_suborbital
aparc-a2009s_rh_volume_S-subparietal	a2009s	rh	parietal	S_subparietal
aparc-a2009s_rh_volume_S-temporal-inf	a2009s	rh	temporal	S_temporal_inf
aparc-a2009s_rh_volume_S-temporal-sup	a2009s	rh	temporal	S_temporal_sup
aparc-a2009s_rh_volume_S-temporal-transverse	a2009s	rh	temporal	S_temporal_transverse
aparc-Desikan_lh_area_TotalSurface	Desikan	lh	whole brain	TotalSurface
aparc-Desikan_lh_area_bankssts	Desikan	lh	temporal	bankssts
aparc-Desikan_lh_area_caudalanteriorcingulate	Desikan	lh	cingulate	caudalanteriorcingulate
aparc-Desikan_lh_area_caudalmiddlefrontal	Desikan	lh	frontal	caudalmiddlefrontal
aparc-Desikan_lh_area_cuneus	Desikan	lh	occipital	cuneus
aparc-Desikan_lh_area_entorhinal	Desikan	lh	insula	entorhinal
aparc-Desikan_lh_area_fusiform	Desikan	lh	occipitotemporal	fusiform
aparc-Desikan_lh_area_inferiorparietal	Desikan	lh	parietal	inferiorparietal
aparc-Desikan_lh_area_inferiortemporal	Desikan	lh	temporal	inferiortemporal
aparc-Desikan_lh_area_isthmuscingulate	Desikan	lh	cingulate	isthmuscingulate
aparc-Desikan_lh_area_lateraloccipital	Desikan	lh	occipital	lateraloccipital
aparc-Desikan_lh_area_lateralorbitofrontal	Desikan	lh	frontal	lateralorbitofrontal
aparc-Desikan_lh_area_lingual	Desikan	lh	occipital	lingual
aparc-Desikan_lh_area_medialorbitofrontal	Desikan	lh	frontal	medialorbitofrontal
aparc-Desikan_lh_area_middletemporal	Desikan	lh	temporal	middletemporal
aparc-Desikan_lh_area_parahippocampal	Desikan	lh	insula	parahippocampal
aparc-Desikan_lh_area_paracentral	Desikan	lh	frontoparietal	paracentral
aparc-Desikan_lh_area_parsopercularis	Desikan	lh	frontal	parsopercularis
aparc-Desikan_lh_area_parsorbitalis	Desikan	lh	frontal	parsorbitalis
aparc-Desikan_lh_area_parstriangularis	Desikan	lh	frontal	parstriangularis
aparc-Desikan_lh_area_pericalcarine	Desikan	lh	occipital	pericalcarine
aparc-Desikan_lh_area_postcentral	Desikan	lh	parietal	postcentral
